SegmentID,X1,Y1,X2,Y2,X3,Y3,MinSpeed1,MaxSpeed1,MinSpeed2,MaxSpeed2,MinSpeed3,MaxSpeed3
91,0,0,109.110732755,11.8787831969,0,0,0,0,0,70,0,0
95,0,0,0,0,109.110684811,11.8788004969,0,0,0,0,0,70
91,109.110732755,11.8787831969,0,0,0,0,0,70,0,0,0,0
96,0,0,109.110759163,11.8788612414,0,0,0,0,0,70,0,0
96,0,0,0,0,109.110745959,11.8788222191,0,0,0,0,0,70
97,109.11066457,11.8788984583,0,0,0,0,0,70,0,0,0,0
95,0,0,109.110636867,11.8788177968,0,0,0,0,0,70,0,0
97,0,0,0,0,109.110650718,11.8788581276,0,0,0,0,0,70
98,109.106608707,11.8679468998,0,0,0,0,0,70,0,0,0,0
98,0,0,109.106680844,11.867915526,0,0,0,0,0,70,0,0
98,0,0,0,0,109.106644775,11.8679312129,0,0,0,0,0,70
99,109.106724423,11.8680092153,0,0,0,0,0,70,0,0,0,0
99,0,0,109.106652473,11.8680419489,0,0,0,0,0,70,0,0
99,0,0,0,0,109.106688448,11.8680255821,0,0,0,0,0,70
100,109.105398378,11.8644846623,0,0,0,0,0,70,0,0,0,0
98,0,0,109.106680844,11.867915526,0,0,0,0,0,70,0,0
100,0,0,0,0,109.105906613,11.8662467197,0,0,0,0,0,70
25,109.105404886,11.8606585934,0,0,0,0,0,70,0,0,0,0
100,0,0,109.105398378,11.8644846623,0,0,0,0,0,70,0,0
101,0,0,0,0,109.105283895,11.8625701135,0,0,0,0,0,70
102,109.109877536,11.8763018482,0,0,0,0,0,70,0,0,0,0
90,0,0,109.110121824,11.8770143526,0,0,0,0,0,70,0,0
102,0,0,0,0,109.10999968,11.8766581004,0,0,0,0,0,70
103,109.109591238,11.8754849427,0,0,0,0,0,70,0,0,0,0
102,0,0,109.109877536,11.8763018482,0,0,0,0,0,70,0,0
103,0,0,0,0,109.109737162,11.8758924221,0,0,0,0,0,70
104,109.109237922,11.8744355315,0,0,0,0,0,70,0,0,0,0
104,0,0,109.109468977,11.8751442033,0,0,0,0,0,70,0,0
104,0,0,0,0,109.109356519,11.8747888774,0,0,0,0,0,70
105,109.106773216,11.8681141119,0,0,0,0,0,70,0,0,0,0
105,0,0,109.108089082,11.8711500959,0,0,0,0,0,70,0,0
105,0,0,0,0,109.107484839,11.8696091664,0,0,0,0,0,70
99,109.106724423,11.8680092153,0,0,0,0,0,70,0,0,0,0
105,0,0,109.106773216,11.8681141119,0,0,0,0,0,70,0,0
106,0,0,0,0,109.106748819,11.8680616636,0,0,0,0,0,70
95,109.110636867,11.8788177968,0,0,0,0,0,70,0,0,0,0
107,0,0,109.110331169,11.8779277174,0,0,0,0,0,70,0,0
107,0,0,0,0,109.110484018,11.8783727571,0,0,0,0,0,70
107,109.110331169,11.8779277174,0,0,0,0,0,70,0,0,0,0
108,0,0,109.110214866,11.8775772583,0,0,0,0,0,70,0,0
108,0,0,0,0,109.110273017,11.8777524879,0,0,0,0,0,70
108,109.110214866,11.8775772583,0,0,0,0,0,70,0,0,0,0
90,0,0,109.110044288,11.8770469174,0,0,0,0,0,70,0,0
109,0,0,0,0,109.110129577,11.8773120879,0,0,0,0,0,70
90,109.110044288,11.8770469174,0,0,0,0,0,70,0,0,0,0
110,0,0,109.10976206,11.8762110878,0,0,0,0,0,70,0,0
110,0,0,0,0,109.109903174,11.8766290026,0,0,0,0,0,70
110,109.10976206,11.8762110878,0,0,0,0,0,70,0,0,0,0
111,0,0,109.109328979,11.8749614844,0,0,0,0,0,70,0,0
111,0,0,0,0,109.109542488,11.875587271,0,0,0,0,0,70
111,109.109328979,11.8749614844,0,0,0,0,0,70,0,0,0,0
112,0,0,109.109256531,11.8747239625,0,0,0,0,0,70,0,0
112,0,0,0,0,109.109292755,11.8748427234,0,0,0,0,0,70
113,109.108887492,11.8737289311,0,0,0,0,0,70,0,0,0,0
113,0,0,109.108004223,11.8711787436,0,0,0,0,0,70,0,0
113,0,0,0,0,109.108418026,11.8724634412,0,0,0,0,0,70
114,109.107647611,11.8701884267,0,0,0,0,0,70,0,0,0,0
99,0,0,109.106652473,11.8680419489,0,0,0,0,0,70,0,0
114,0,0,0,0,109.107164603,11.8691085716,0,0,0,0,0,70
98,109.106608707,11.8679468998,0,0,0,0,0,70,0,0,0,0
25,0,0,109.105320029,11.8606462954,0,0,0,0,0,70,0,0
115,0,0,0,0,109.105310209,11.8644166,0,0,0,0,0,70
98,109.106680844,11.867915526,0,0,0,0,0,70,0,0,0,0
99,0,0,109.106724423,11.8680092153,0,0,0,0,0,70,0,0
116,0,0,0,0,109.106702634,11.8679623707,0,0,0,0,0,70
99,109.106652473,11.8680419489,0,0,0,0,0,70,0,0,0,0
98,0,0,109.106608707,11.8679468998,0,0,0,0,0,70,0,0
117,0,0,0,0,109.106630527,11.8679944534,0,0,0,0,0,70
697,109.108396701,11.8153506739,0,0,0,0,0,70,0,0,0,0
697,0,0,109.10709979,11.8113225004,0,0,0,0,0,70,0,0
697,0,0,0,0,109.108024545,11.813246329,0,0,0,0,0,70
697,109.10709979,11.8113225004,0,0,0,0,0,70,0,0,0,0
1,0,0,109.106231187,11.8099177361,0,0,0,0,0,70,0,0
698,0,0,0,0,109.106671893,11.81061613,0,0,0,0,0,70
699,109.108347848,11.8149088469,0,0,0,0,0,70,0,0,0,0
699,0,0,109.108486694,11.8153258881,0,0,0,0,0,70,0,0
699,0,0,0,0,109.108407606,11.8151206215,0,0,0,0,0,70
1,109.106307302,11.8098651273,0,0,0,0,0,70,0,0,0,0
699,0,0,109.108347848,11.8149088469,0,0,0,0,0,70,0,0
700,0,0,0,0,109.10771176,11.812242645,0,0,0,0,0,70
768,109.074687214,12.2105737177,0,0,0,0,0,70,0,0,0,0
768,0,0,109.074758033,12.2105381765,0,0,0,0,0,70,0,0
768,0,0,0,0,109.074722624,12.2105559471,0,0,0,0,0,70
769,109.074597463,12.2104191839,0,0,0,0,0,70,0,0,0,0
769,0,0,109.074667589,12.210375752,0,0,0,0,0,70,0,0
769,0,0,0,0,109.074632526,12.210397468,0,0,0,0,0,70
770,109.074644225,12.2104996986,0,0,0,0,0,70,0,0,0,0
770,0,0,109.074712834,12.2104564795,0,0,0,0,0,70,0,0
770,0,0,0,0,109.074678529,12.2104780891,0,0,0,0,0,70
769,109.074597463,12.2104191839,0,0,0,0,0,70,0,0,0,0
771,0,0,109.074447008,12.2101541582,0,0,0,0,0,70,0,0
771,0,0,0,0,109.074520931,12.2102874108,0,0,0,0,0,70
771,109.074447008,12.2101541582,0,0,0,0,0,70,0,0,0,0
772,0,0,109.074152795,12.2096228727,0,0,0,0,0,70,0,0
772,0,0,0,0,109.074299901,12.2098885154,0,0,0,0,0,70
